feed,title,long_url,short_url
gNews,Stock Market Today: Dow Jones Falls; Super Micro Rises On Musk's Massive AI Plan (Live Coverage) - Investor's Business Daily,https://news.google.com/rss/articles/CBMiowFBVV95cUxOWXVIQXQ1SUlselF5MlJGTVc1WGtsY3EycG1ZWFZjdExRSzVHSlVuQ194NkxZeC1CQzlqdmRneFNpTjZRUjFObkJKRENyUkZPZk9hbzFWbjFwSlZUcmppNVpoRGh0VHpVMlBqM2pDcy12cXFwQ2I5dEtReDNYVHBQajR4UnRFODEyMlIybWxFVWt2bmx6Ql84SXVaYURoNmp2dGNz?oc=5,https://da.gd/sm5q
gNews,US Open: Stock indices open flat; US500 remains above 6100 points 🔔 - XTB,https://news.google.com/rss/articles/CBMivgFBVV95cUxQcVBFbVBGN3NaaDQ2c2pDUzZfdm9heHFmTEdncFNCY3h2WnpSS05OMmVKa2dJMXY0WlRhbUZwX0t1WHk2R3V1cUE5Q0NiYmJfa0haRmNYN0M4cC1PaVNhV01RVXFjN1psQzdWM215N0trT1RZNG1RNVQyaWx2dlhyYXI5RDBsVkdMb3I3THdlb0I5YldJTklRYVl6dHgxdVZ3R0xSeE9EUHRpXy1HMEJmT0s0UGRXa0tadW5QamFB?oc=5,https://da.gd/agutF
