feed,title,long_url,short_url
Investing,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.35%,https://www.investing.com/news/stock-market-news/us-stocks-lower-at-close-of-trade-dow-jones-industrial-average-down-135-3367057,https://da.gd/p18fuA
Investing,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.35%,https://www.investing.com/news/stock-market-news/us-stocks-lower-at-close-of-trade-dow-jones-industrial-average-down-135-3367056,https://da.gd/PXlp0
Investing,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.35%,https://www.investing.com/news/stock-market-news/us-stocks-lower-at-close-of-trade-dow-jones-industrial-average-down-135-3367055,https://da.gd/eUnWB
Investing,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.35%,https://www.investing.com/news/stock-market-news/us-stocks-lower-at-close-of-trade-dow-jones-industrial-average-down-135-3367054,https://da.gd/gZrHc
Investing,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.35%,https://www.investing.com/news/stock-market-news/us-stocks-lower-at-close-of-trade-dow-jones-industrial-average-down-135-3367053,https://da.gd/phvs2b
Investing,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.35%,https://www.investing.com/news/stock-market-news/us-stocks-lower-at-close-of-trade-dow-jones-industrial-average-down-135-3367052,https://da.gd/YXmG1J
Investing,Saudi Arabia stocks higher at close of trade; Tadawul All Share up 0.66%,https://www.investing.com/news/stock-market-news/saudi-arabia-stocks-higher-at-close-of-trade-tadawul-all-share-up-066-3367051,https://da.gd/VFbFeE
Investing,Saudi Arabia stocks higher at close of trade; Tadawul All Share up 0.66%,https://www.investing.com/news/stock-market-news/saudi-arabia-stocks-higher-at-close-of-trade-tadawul-all-share-up-066-3367050,https://da.gd/IxyZ5X
Investing,Saudi Arabia stocks higher at close of trade; Tadawul All Share up 0.66%,https://www.investing.com/news/stock-market-news/saudi-arabia-stocks-higher-at-close-of-trade-tadawul-all-share-up-066-3367049,https://da.gd/BXqs
Investing,Saudi Arabia stocks higher at close of trade; Tadawul All Share up 0.66%,https://www.investing.com/news/stock-market-news/saudi-arabia-stocks-higher-at-close-of-trade-tadawul-all-share-up-066-3367048,https://da.gd/6j4OwT
