feed,title,long_url,short_url
YahooFinance,Update on Bitfarms and Stronghold Deal; Adds Transaction Details,https://finance.yahoo.com/news/bitfarms-stronghold-deal-adds-transaction-110904585.html?.tsrc=rss,https://da.gd/NsH4Qy
YahooFinance,Bitfarms Down 5% in U.S. Premarket After Agreement to Buy Nasdaq's Stronghold Digital Mining; SDIG Up More Than 50%,https://finance.yahoo.com/news/bitfarms-down-5-u-premarket-105029770.html?.tsrc=rss,https://da.gd/zV3uKx
