feed,title,long_url,short_url
gNews,"Multibagger stock surges 3,938% in 5 years, Board approves stock split | Mint - Mint",https://www.livemint.com/market/stock-market-news/multibagger-stock-surges-3-938-in-5-years-board-approves-stock-split-11664970349507.html,https://bit.ly/3fI2fIQ
gNews,Multibagger stock jumps 1000 times to turn ₹1 lakh to ₹55 Cr after 3 bonus shares: Should you buy? | Mint - Mint,https://www.livemint.com/market/stock-market-news/multibagger-stock-jumps-1000-times-turns-rs-1-lac-to-rs-55-cr-post-3-bonus-share-11664978893107.html,https://bit.ly/3RCRBR4
