feed,title,long_url,short_url
Snacks,"🎮 Angry Birds’ new nest | Tuesday, April 18, 2023",https://snacks.robinhood.com/snacks/newsletters/5AciLNfTjofglJKyu99HG1/,https://da.gd/cmPaPC
Snacks,"🔮 Earnings-season forecast | WEEKLYMonday, April 17, 2023",https://snacks.robinhood.com/snacks/newsletters/3mZClWcjrS1T55XfzMg58j/,https://da.gd/zOuxc7
Snacks,"✈️ Delta’s delayed YOLO | Friday, April 14, 2023",https://snacks.robinhood.com/snacks/newsletters/1UaryfLlNYafGqkVnZiU00/,https://da.gd/oUrJo8
Snacks,"🏦 The great rate-hike divide | Thursday, April 13, 2023",https://snacks.robinhood.com/snacks/newsletters/4kYz28r5Anmah0XmXU8fgK/,https://da.gd/biZVT
Snacks,"💼 ChatGPT clocks in | Wednesday, April 12, 2023",https://snacks.robinhood.com/snacks/newsletters/Ku8oHOygOUFBElNxmnQHt/,https://da.gd/Gy9QB
Snacks,"🔋 Tesla’s “Megapack” bet | Tuesday, April 11, 2023",https://snacks.robinhood.com/snacks/newsletters/3ITpC4k9Ogb756gLlOX7Ht/,https://da.gd/0N59L
Snacks,"🎓 College-hiring conundrum | WEEKLYMonday, April 10, 2023",https://snacks.robinhood.com/snacks/newsletters/4SUORBODYa9wWaZ9kyTgbn/,https://da.gd/TqIO9
Snacks,"🤖 Walmart hits autopilot | Thursday, April 6, 2023",https://snacks.robinhood.com/snacks/newsletters/6pBiGKeLBn6LbaoUyMn5vL/,https://da.gd/UlVB4
Snacks,"🛢️ Gas-price problems | Wednesday, April 5, 2023",https://snacks.robinhood.com/snacks/newsletters/76atOGd2Tik4m7ipZFuyy5/,https://da.gd/1Wgy
Snacks,"🤼 WWE + UFC = tag team | Tuesday, April 4, 2023",https://snacks.robinhood.com/snacks/newsletters/mXK4xbJKOrYkTsz9xqJZi/,https://da.gd/sgvnoR
