feed,title,long_url,short_url
gNews,The Days of ‘Sleepy’ Funding Markets at Quarter-End Are Over | Stock Market News - Mint,https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL3RoZS1kYXlzLW9mLXNsZWVweS1mdW5kaW5nLW1hcmtldHMtYXQtcXVhcnRlci1lbmQtYXJlLW92ZXItMTE3MTk1OTczNzg3MTAuaHRtbNIBhAFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL3RoZS1kYXlzLW9mLXNsZWVweS1mdW5kaW5nLW1hcmtldHMtYXQtcXVhcnRlci1lbmQtYXJlLW92ZXIvYW1wLTExNzE5NTk3Mzc4NzEwLmh0bWw?oc=5,https://da.gd/lHVym6
gNews,"Nifty 50 soars 7% in June, largest monthly gain since December 2023; index up over 10% in first half of 2024 | Stock Market News - Mint",https://news.google.com/rss/articles/CBMirgFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL25pZnR5LTUwLXNvYXJzLTctaW4tanVuZS1sYXJnZXN0LW1vbnRobHktZ2Fpbi1zaW5jZS1kZWNlbWJlci0yMDIzLWluZGV4LXVwLW92ZXItMTAtaW4tZmlyc3QtaGFsZi1vZi0yMDI0LTExNzE5NTcyNDAwNjE2Lmh0bWzSAbIBaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9zdG9jay1tYXJrZXQtbmV3cy9uaWZ0eS01MC1zb2Fycy03LWluLWp1bmUtbGFyZ2VzdC1tb250aGx5LWdhaW4tc2luY2UtZGVjZW1iZXItMjAyMy1pbmRleC11cC1vdmVyLTEwLWluLWZpcnN0LWhhbGYtb2YtMjAyNC9hbXAtMTE3MTk1NzI0MDA2MTYuaHRtbA?oc=5,https://da.gd/HTDHNd
