feed,title,long_url,short_url
gNews,"Bharti Airtel stock breaches ₹1,000 mark for first time; m-cap nears ₹6 lakh crore | Mint - Mint",https://news.google.com/rss/articles/CBMikwFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL2JoYXJ0aS1haXJ0ZWwtc3RvY2stYnJlYWNoZXMtcnMtMS0wMDAtbWFyay1maXJzdC10aW1lLW0tY2FwLW5lYXJzLXJzLTZsLWNyb3JlLTExNzAxMjM2MDY3NzM4Lmh0bWzSAZcBaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9zdG9jay1tYXJrZXQtbmV3cy9iaGFydGktYWlydGVsLXN0b2NrLWJyZWFjaGVzLXJzLTEtMDAwLW1hcmstZmlyc3QtdGltZS1tLWNhcC1uZWFycy1ycy02bC1jcm9yZS9hbXAtMTE3MDEyMzYwNjc3MzguaHRtbA?oc=5,https://da.gd/Jgj71
gNews,Gold price touches new peak as US dollar index hits three month low. Should you buy in this rally? | Mint - Mint,https://news.google.com/rss/articles/CBMioAFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2NvbW1vZGl0aWVzL2dvbGQtcHJpY2UtdG91Y2hlcy1uZXctcGVhay1hcy11cy1kb2xsYXItaW5kZXgtaGl0cy10aHJlZS1tb250aC1sb3ctc2hvdWxkLXlvdS1idXktaW4tdGhpcy1yYWxseS0xMTcwMTIzMjg2MTk5OS5odG1s0gGkAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvY29tbW9kaXRpZXMvZ29sZC1wcmljZS10b3VjaGVzLW5ldy1wZWFrLWFzLXVzLWRvbGxhci1pbmRleC1oaXRzLXRocmVlLW1vbnRoLWxvdy1zaG91bGQteW91LWJ1eS1pbi10aGlzLXJhbGx5L2FtcC0xMTcwMTIzMjg2MTk5OS5odG1s?oc=5,https://da.gd/sYva3
