feed,title,long_url,short_url
gNews,From Tech Mahindra to Dalmia Bharat: 11 stocks to trade ex-dividend this week | Mint - Mint,https://www.livemint.com/market/stock-market-news/from-tech-mahindra-to-dalmia-bharat-11-stocks-to-trade-ex-dividend-next-week-11667726114710.html,https://bit.ly/3FTc9Tb
gNews,"FPIs infuse over ₹15,200 cr in equity market in just 4 days of Nov, DIIs emerge as net sellers | Mint - Mint",https://www.livemint.com/market/stock-market-news/fpis-infuse-over-rs-15-200-cr-in-equity-market-in-just-4-days-of-nov-11667643874872.html,https://bit.ly/3FP64XQ
