feed,title,long_url,short_url
gNews,When is the best time of day to buy an ETF? | Mint - Mint,https://www.livemint.com/mutual-fund/when-is-the-best-time-of-day-to-buy-an-etf-11667734199956.html,https://bit.ly/3t8Opm5
gNews,"Market outlook: Analysts say earnings, global trends to guide markets in holiday-shortened week ahead | Mint - Mint",https://www.livemint.com/market/stock-market-news/market-outlook-analysts-say-earnings-global-trends-to-guide-markets-in-holiday-shortened-week-ahead-11667713551828.html,https://bit.ly/3t0Q2lV
